file,page,total_pages,province,constituency,district,sub_district,station_range,vote_type,form_type,ocr_vote_type,ocr_constituency,ocr_station_no,ocr_village_no,ocr_sub_district,ocr_district,registered_voters,turnout,ballots_received,valid_ballots,invalid_ballots,no_vote_ballots,remaining_ballots,total_votes,candidates_count,candidates_json
เขตเลือกตั้งที่ 3\อำเภอหนองบัวระเหว\วังตะเฆ่-001-แบ่งเขต0001.pdf,2,46,ชัยภูมิ,3,หนองบัวระเหว,วังตะเฆ่,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 3\อำเภอหนองบัวระเหว\วังตะเฆ่-001-แบ่งเขต0001.pdf,3,46,ชัยภูมิ,3,หนองบัวระเหว,วังตะเฆ่,001,แบ่งเขต,สส.5/18,แบ่งเขต,3,,,,หนาวน,15,24,221,400,223,23,9,227,4,"[{""number"": 2, ""name"": ""นายวีระ ถนอมธรรม"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 207}, {""number"": 3, ""name"": ""นางสาวพิศมัย สร้อยสุวรรณ"", ""party"": ""ประชาชน"", ""votes"": null}, {""number"": 4, ""name"": ""นายกฤษณ์ คูณรัตนศิริ"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นายสนั่น พัชรเดชโสภณ"", ""party"": ""เพื่อไทย"", ""votes"": 6}]"
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.กุดชุมแสง-แบ่งเขต-หน่วยที่ 1-21.pdf,1,42,ชัยภูมิ,4,หนองบัวแดง,กุดชุมแสง,1-21,แบ่งเขต,สส.5/18,แบ่งเขต,4,,,วง,หนองบัวแดง,427,256,256,222,223,23,243,3808,7,"[{""number"": 1, ""name"": ""นางสาวกาญจนา จังหวะ"", ""party"": ""กล้าธรรม"", ""votes"": 157}, {""number"": 2, ""name"": ""นายสิทธิพล ภูธรณ์"", ""party"": ""ประชาชน"", ""votes"": null}, {""number"": 3, ""name"": ""นางสาวน้ำฝน หอมชาลี"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 4, ""name"": ""นายณรงค์ฤทธิ์ มอบสันเทียะ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 5, ""name"": ""นางสาวสุชาดา ซาง แทนทรัพย์"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 6, ""name"": ""นางสาวนงค์คราญ ฤๅชาญ"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": 9}, {""number"": 8, ""name"": ""นายชาติชาย อาจสนาม"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.กุดชุมแสง-แบ่งเขต-หน่วยที่ 1-21.pdf,2,42,ชัยภูมิ,4,หนองบัวแดง,กุดชุมแสง,1-21,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.กุดชุมแสง-แบ่งเขต-หน่วยที่ 1-21.pdf,3,42,ชัยภูมิ,4,หนองบัวแดง,กุดชุมแสง,1-21,แบ่งเขต,สส.5/18,แบ่งเขต,4,,,วง,หนา,41,24,221,222,223,23,460,201,8,"[{""number"": 1, ""name"": ""นายวรฉัตร พงศ์ธีระดุลย์"", ""party"": ""เพื่อไทย"", ""votes"": null}, {""number"": 2, ""name"": ""นายสิทธิพล ภูธรณ์"", ""party"": ""ประชาชน"", ""votes"": 28}, {""number"": 3, ""name"": ""นางสาวนํ้าฝน หอมชาลี"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 4, ""name"": ""นายณรงค์ฤทธิ์ มอบสันเทียะ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 5, ""name"": ""นางสาวสุชาดา ซาง แทนทรัพย์"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 6, ""name"": ""นางสาวกาญจนา จังหวะ"", ""party"": ""กล้าธรรม"", ""votes"": 66}, {""number"": 7, ""name"": ""นางสาวนงค์คราญ ฤๅชาญ"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": 8, ""name"": ""นายชาติชาย อาจสนาม"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,2,108,ชัยภูมิ,2,จัตุรัส,หนองบัวบาน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,108,ชัยภูมิ,2,จัตุรัส,หนองบัวบาน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,บัญชีรายชื่อ,2,9,2,ลว,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,2,16,221,222,40,,152,,0,[]
เขตเลือกตั้งที่ 2\02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,1,32,ชัยภูมิ,2,,,,บัญชีรายชื่อ,สส.5/17,บัญชีรายชื่อ,2,,,,,,,,22,674,,,,0,[]
เขตเลือกตั้งที่ 2\02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2,32,ชัยภูมิ,2,,,,บัญชีรายชื่อ,สส.5/17,บัญชีรายชื่อ,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,3,32,ชัยภูมิ,2,,,,บัญชีรายชื่อ,สส.5/17,บัญชีรายชื่อ,,,,,,,,,,,,,700,0,[]
