file,page,total_pages,province,constituency,district,sub_district,station_range,vote_type,form_type,ocr_vote_type,ocr_constituency,ocr_station_no,ocr_village_no,ocr_sub_district,ocr_district,registered_voters,turnout,ballots_received,valid_ballots,invalid_ballots,no_vote_ballots,remaining_ballots,total_votes,candidates_count,candidates_json
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.หนองขาม-แบ่งเขต-หน่วยที่ 1-14.pdf,1,1,ชัยภูมิ,7,แก้งคร้อ,หนองขาม,1-14,แบ่งเขต,สส.5/18,แบ่งเขต,7,14,13,หนองหาน,,31,31,221,222,223,23,480,309,11,"[{""number"": 1, ""name"": ""นายกิตติธัช คำวงษ์"", ""party"": null, ""votes"": null}, {""number"": 2, ""name"": ""นายกิติพร เศรษฐภูมิภักดี"", ""party"": ""ประชาชน"", ""votes"": 40}, {""number"": 3, ""name"": ""นายจอมจักรภพ วัชระจินดาวัฒนะ"", ""party"": ""เพื่อไทย"", ""votes"": 3}, {""number"": 4, ""name"": ""นายชานนท์ ต่อสกุล"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นางสาวปัญชลีย์ วัฒนชัยศาสตร์"", ""party"": ""พลังประชารัฐ"", ""votes"": null}, {""number"": 6, ""name"": ""นายอัครแสนคีรี โล่ห์วีระ"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 7, ""name"": ""นายพลากร ภูมินอก"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 8, ""name"": ""นายธีรวุฒิ พงษ์จันทร์"", ""party"": ""ไทยก้าวใหม่"", ""votes"": null}, {""number"": 9, ""name"": ""นายอดิเรก ดวงวันนี้"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": 10, ""name"": ""นางสุชามนต์ เครือเครา"", ""party"": ""ไทยทรัพย์ทวี"", ""votes"": null}, {""number"": 11, ""name"": ""นางอรุณณี งามจิตสุวรรณ"", ""party"": null, ""votes"": null}]"
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ท่ามะไฟหวาน-แบ่งเขต-หน่วยที่ 1-11.pdf,1,1,ชัยภูมิ,7,แก้งคร้อ,ท่ามะไฟหวาน,1-11,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.วังชมภู-แบ่งเขต-หน่วยที่ 1-12.pdf,1,24,ชัยภูมิ,4,หนองบัวแดง,วังชมภู,1-12,แบ่งเขต,สส.5/18,แบ่งเขต,4,,,,,299,399,220,,223,23,195,595,8,"[{""number"": 1, ""name"": ""นายวรฉัตร พงศ์ธีระดุลย์"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 2, ""name"": ""นายสิทธิพล ภูธรณ์"", ""party"": ""ประชาชน"", ""votes"": 42}, {""number"": 3, ""name"": ""นางสาวน้ำฝน หอมชาลี"", ""party"": ""ประชาธิปัตย์"", ""votes"": 105}, {""number"": null, ""name"": ""นายณรงค์ฤทธิ์ มอบสันเทียะ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 31}, {""number"": null, ""name"": ""นางสาวสุชาดา ซาง แทนทรัพย์"", ""party"": ""ภูมิใจไทย"", ""votes"": 216}, {""number"": null, ""name"": ""นางสาวกาญจนา จังหวะ"", ""party"": ""กล้าธรรม"", ""votes"": null}, {""number"": null, ""name"": ""นางสาวนงค์คราญ ฤๅชาญ"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": null, ""name"": ""นายชาติชาย อาจสนาม"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.วังชมภู-แบ่งเขต-หน่วยที่ 1-12.pdf,2,24,ชัยภูมิ,4,หนองบัวแดง,วังชมภู,1-12,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 5\อำเภอคอนสาร\แบ่งเขต\ดงบัง-แบ่งเขต-หน่วยที่ 1-9.pdf,1,18,ชัยภูมิ,5,คอนสาร,,1-9,แบ่งเขต,สส.5/18,แบ่งเขต,5,,,าล,,25,24,221,222,420,1,420,,11,"[{""number"": 1, ""name"": ""นายชยนนท์ คำเบ้า"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 2, ""name"": ""นายธนกฤต จรรย์โกมล"", ""party"": ""ภูมิใจไทย"", ""votes"": 74}, {""number"": 3, ""name"": ""ส.อ.นิติภัส สุภาพงษ์นันทกุล"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 4, ""name"": ""นายสุขสันต์ ชื่นจิตร"", ""party"": ""กล้าธรรม"", ""votes"": 34}, {""number"": 5, ""name"": ""นายศิวะ พงศ์ธีระดุลย์"", ""party"": null, ""votes"": null}, {""number"": 6, ""name"": ""นายอภิเดช ประทุมแก้ว"", ""party"": ""เพื่อไทย"", ""votes"": 135}, {""number"": 7, ""name"": ""นายศรคม ภูชา"", ""party"": ""พลังประชารัฐ"", ""votes"": null}, {""number"": 8, ""name"": ""นายหนูเสน พรมวงศ์"", ""party"": ""ทางเลือกใหม่"", ""votes"": null}, {""number"": 9, ""name"": ""นายวิชัย ปัญญา"", ""party"": ""ไทยทรัพย์ทวี"", ""votes"": null}, {""number"": 10, ""name"": ""นายปิยชัย โชติมาวณิช"", ""party"": ""เศรษฐกิจ"", ""votes"": null}, {""number"": 11, ""name"": ""นายจงเจริญ เอกทวีกุล"", ""party"": ""ประชากรไทย"", ""votes"": null}]"
เขตเลือกตั้งที่ 5\อำเภอคอนสาร\แบ่งเขต\ดงบัง-แบ่งเขต-หน่วยที่ 1-9.pdf,2,18,ชัยภูมิ,5,คอนสาร,,1-9,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 3\อำเภอเทพสถิต\วะตะแบก-001-แบ่งเขต.PDF,1,10,ชัยภูมิ,3,เทพสถิต,วะตะแบก,001,แบ่งเขต,สส.5/18,แบ่งเขต,,,,,ขต,6,,221,222,223,23,10,,5,"[{""number"": 1, ""name"": ""นายสัมฤทธิ์ แทนทรัพย์"", ""party"": ""สังกัด"", ""votes"": 145}, {""number"": 2, ""name"": ""นางสาวพิศมัย สร้อยสุวรรณ"", ""party"": null, ""votes"": null}, {""number"": 3, ""name"": ""นายกฤษณ์ คูณรัตนศิริ"", ""party"": null, ""votes"": null}, {""number"": 4, ""name"": ""นายวีระ ถนอมธรรม"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นายสนั่น พัชรเดชโสภณ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 28}]"
เขตเลือกตั้งที่ 3\อำเภอเทพสถิต\วะตะแบก-001-แบ่งเขต.PDF,2,10,ชัยภูมิ,3,เทพสถิต,วะตะแบก,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\โคกสูง-001-แบ่งเขต.PDF,1,12,ชัยภูมิ,1,เมืองชัยภูมิ,โคกสูง,001,แบ่งเขต,สส.5/18,แบ่งเขต,,,,าล,,,,221,222,223,23,4,314,10,"[{""number"": 1, ""name"": ""นางสาวนัฏฐิกา โล่ห์วีระ"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 2, ""name"": ""นายดิเรก ผาสุขมูล"", ""party"": null, ""votes"": null}, {""number"": 2, ""name"": ""นายวรวุฒิ จอดนอก"", ""party"": ""ไทยก้าวใหม่"", ""votes"": null}, {""number"": 3, ""name"": ""นายวรพล พรมเมืองเก่า"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 4, ""name"": ""นายโอษฐ์ เกียรติก้องชูชัย"", ""party"": ""เพื่อไทย"", ""votes"": null}, {""number"": 5, ""name"": ""นายอนุชา เจริญรักษ์"", ""party"": null, ""votes"": null}, {""number"": 6, ""name"": ""นายอาวุธ ปะเมโท"", ""party"": null, ""votes"": null}, {""number"": 7, ""name"": ""นางสาวเกวลิน ชัยวัฒนกุลวานิช"", ""party"": ""ก้าวอิสระ"", ""votes"": null}, {""number"": 8, ""name"": ""นายเกษมศักดิ์ อัครเพศ"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 10, ""name"": ""นายวันชัย ลือมงคล"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\โคกสูง-001-แบ่งเขต.PDF,2,12,ชัยภูมิ,1,เมืองชัยภูมิ,โคกสูง,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 4\อำเภอภักดีชุมพล\แบ่งเขต\ต.แหลมทอง-แบ่งเขต-หน่วยที่ 1-13.pdf,1,13,ชัยภูมิ,4,ภักดีชุมพล,แหลมทอง,1-13,แบ่งเขต,สส.5/18,แบ่งเขต,4,1,,วง,ขต,146,40,221,222,223,23,760,415,8,"[{""number"": 1, ""name"": ""นายวรฉัตร พงศ์ธีระดุลย์"", ""party"": null, ""votes"": null}, {""number"": 2, ""name"": ""นายสิทธิพล ภูธรณ์"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 3, ""name"": ""นางสาวน้ำฝน หอมชาลี"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 4, ""name"": ""นายณรงค์ฤทธิ์ มอบสันเทียะ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 5, ""name"": ""นางสาวสุชาดา ชาง แทนทรัพย์"", ""party"": ""ภูมิใจไทย"", ""votes"": 250}, {""number"": 6, ""name"": ""นางสาวกาญจนา จังหวะ"", ""party"": ""กล้าธรรม"", ""votes"": 49}, {""number"": 7, ""name"": ""นางสาวนงค์คราญ ฤชาญ"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": 8, ""name"": ""นายชาติชาย อาจสนาม"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 4\อำเภอภักดีชุมพล\แบ่งเขต\ต.แหลมทอง-แบ่งเขต-หน่วยที่ 1-13.pdf,2,13,ชัยภูมิ,4,ภักดีชุมพล,แหลมทอง,1-13,แบ่งเขต,สส.5/18,แบ่งเขต,4,2,2,าล,กรมพล,64,6,221,222,223,23,660,,8,"[{""number"": 1, ""name"": ""นายวรฉัตร พงศ์ธีระดุลย์"", ""party"": ""เพื่อไทย 39 สาม มง"", ""votes"": null}, {""number"": 2, ""name"": ""นายสิทธิพล ภูธรณ์"", ""party"": ""ประชาชน"", ""votes"": null}, {""number"": 3, ""name"": ""นางสาวสุชาดา ซาง แทนทรัพย์"", ""party"": ""ภูมิใจไทย"", ""votes"": 202}, {""number"": 4, ""name"": ""นายณรงค์ฤทธิ์ มอบสันเทียะ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 5, ""name"": ""นางสาวน้ำฝน หอมชาลี"", ""party"": ""ประชาธิปัตย์"", ""votes"": 974}, {""number"": 6, ""name"": ""นางสาวกาญจนา จังหวะ"", ""party"": ""กล้าธรรม"", ""votes"": null}, {""number"": 7, ""name"": ""นางสาวนงค์คราญ ฤชาญ"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": 8, ""name"": ""นายชาติชาย อาจสนาม"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 4\อำเภอเกษตรสมบูรณ์ (เฉพาะ ต.หนองข่า)\แบ่งเขต\ต.หนองข่า-แบ่งเขต-หน่วยที่ 1-13.pdf,1,26,ชัยภูมิ,4,เกษตรสมบูรณ์ (เฉพาะ ต.หนองข่า),หนองข่า,1-13,แบ่งเขต,สส.5/18,แบ่งเขต,4,,,าล,เม,40,24,221,222,223,23,,238,8,"[{""number"": 1, ""name"": ""นางสาวกาญจนา จังหวะ"", ""party"": ""กล้าธรรม"", ""votes"": 26}, {""number"": 2, ""name"": ""นายสิทธิพล ภูธรณ์"", ""party"": null, ""votes"": null}, {""number"": 3, ""name"": ""นายณรงค์ฤทธิ์ มอบสันเทียะ"", ""party"": ""ประชาชน"", ""votes"": null}, {""number"": 4, ""name"": ""นางสาวน้ำฝน หอมชาลี"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นางสาวสุชาดา ซาง แทนทรัพย์"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 6, ""name"": ""นายวรฉัตร พงศ์ธีระดุลย์"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 7, ""name"": ""นางสาวนงค์คราญ ฤๅชาญ"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": 8, ""name"": ""นายชาติชาย อาจสนาม"", ""party"": null, ""votes"": null}]"
เขตเลือกตั้งที่ 4\อำเภอเกษตรสมบูรณ์ (เฉพาะ ต.หนองข่า)\แบ่งเขต\ต.หนองข่า-แบ่งเขต-หน่วยที่ 1-13.pdf,2,26,ชัยภูมิ,4,เกษตรสมบูรณ์ (เฉพาะ ต.หนองข่า),หนองข่า,1-13,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\ลาดใหญ่-002-แบ่งเขต.PDF,1,14,ชัยภูมิ,1,เมืองชัยภูมิ,ลาดใหญ่,002,แบ่งเขต,สส.5/18,แบ่งเขต,,,1,าล,ขต,522,24,221,,223,23,590,,10,"[{""number"": 1, ""name"": ""นางสาวเกวลิน ชัยวัฒนกุลวานิช"", ""party"": null, ""votes"": null}, {""number"": 2, ""name"": ""นายวรวุฒิ จอดนอก"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 3, ""name"": ""นายวรพล พรมเมืองเก่า"", ""party"": null, ""votes"": null}, {""number"": 4, ""name"": ""นายโอษฐ์ เกียรติก้องชูชัย"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นายอนุชา เจริญรักษ์"", ""party"": null, ""votes"": 60}, {""number"": 6, ""name"": ""นางสาวนัฏฐิกา โล่ห์วีระ"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 7, ""name"": ""นายอาวุธ ปะเมโท"", ""party"": null, ""votes"": null}, {""number"": 8, ""name"": ""นายเกษมศักดิ์ อัครเพศ"", ""party"": ""ทางเลือกใหม่"", ""votes"": null}, {""number"": 9, ""name"": ""นายดิเรก ผาสุขมูล"", ""party"": null, ""votes"": null}, {""number"": 10, ""name"": ""นายวันชัย ลือมงคล"", ""party"": ""เศรษฐกิจ"", ""votes"": 49}]"
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\ลาดใหญ่-002-แบ่งเขต.PDF,2,14,ชัยภูมิ,1,เมืองชัยภูมิ,ลาดใหญ่,002,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\ลาดใหญ่-001-แบ่งเขต.PDF,1,14,ชัยภูมิ,1,เมืองชัยภูมิ,ลาดใหญ่,001,แบ่งเขต,สส.5/18,แบ่งเขต,,,,ต่างอำเภอ,,450,,221,222,223,3,,,10,"[{""number"": 1, ""name"": ""นางสาวนัฏฐิกา โล่ห์วีระ"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 2, ""name"": ""นายโอษฐ์ เกียรติก้องชูชัย"", ""party"": null, ""votes"": null}, {""number"": 2, ""name"": ""นายเกษมศักดิ์ อัครเพศ"", ""party"": ""ทางเลือกใหม่"", ""votes"": null}, {""number"": 3, ""name"": ""นายดิเรก ผาสุขมูล"", ""party"": null, ""votes"": null}, {""number"": 4, ""name"": ""นางสาวเกวลิน ชัยวัฒนกุลวานิช"", ""party"": ""กล้าธรรม"", ""votes"": 17}, {""number"": 5, ""name"": ""นายวรพล พรมเมืองเก่า"", ""party"": ""เพื่อไทย"", ""votes"": 216}, {""number"": 6, ""name"": ""นายอาวุธ ปะเมโท"", ""party"": ""ก้าวอิสระ"", ""votes"": null}, {""number"": 7, ""name"": ""นายอนุชา เจริญรักษ์"", ""party"": null, ""votes"": null}, {""number"": 8, ""name"": ""นายวรวุฒิ จอดนอก"", ""party"": ""ไทยก้าวใหม่"", ""votes"": null}, {""number"": 10, ""name"": ""นายวันชัย ลือมงคล"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\ลาดใหญ่-001-แบ่งเขต.PDF,2,14,ชัยภูมิ,1,เมืองชัยภูมิ,ลาดใหญ่,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\บ้านค่ายหมื่นแผ้ว-001-แบ่งเขต.PDF,1,16,ชัยภูมิ,1,เมืองชัยภูมิ,บ้านค่ายหมื่นแผ้ว,001,แบ่งเขต,สส.5/18,แบ่งเขต,,,,าล,,,,221,222,223,23,294,5050,10,"[{""number"": 1, ""name"": ""นายวรวุฒิ จอดนอก"", ""party"": ""ภูมิใจไทย"", ""votes"": 306}, {""number"": 2, ""name"": ""นายเกษมศักดิ์ อัครเพศ"", ""party"": ""ทางเลือกใหม่"", ""votes"": 110}, {""number"": 3, ""name"": ""นางสาวนัฏฐิกา โล่ห์วีระ"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 4, ""name"": ""นางสาวเกวลิน ชัยวัฒนกุลวานิช"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นายอาวุธ ปะเมโท"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 6, ""name"": ""นายโอชิษฐ์ เกียรติก้องชูชัย"", ""party"": null, ""votes"": null}, {""number"": 7, ""name"": ""นายดิเรก ผาสุขมูล"", ""party"": ""ไทยก้าวใหม่"", ""votes"": null}, {""number"": 8, ""name"": ""นายวรพล พรมเมืองเก่า"", ""party"": ""เพื่อไทย"", ""votes"": null}, {""number"": 9, ""name"": ""นายอนุชา เจริญรักษ์"", ""party"": ""กล้าธรรม"", ""votes"": 6}, {""number"": 10, ""name"": ""นายวันชัย ลือมงคล"", ""party"": ""เศรษฐกิจ"", ""votes"": 2}]"
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\บ้านค่ายหมื่นแผ้ว-001-แบ่งเขต.PDF,2,16,ชัยภูมิ,1,เมืองชัยภูมิ,บ้านค่ายหมื่นแผ้ว,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,46,ชัยภูมิ,2,จัตุรัส,จัตุรัส ทต.บ้านกอก,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,แบ่งเขต,2,,,,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,2,22,221,222,223,23,220,11765,7,"[{""number"": 1, ""name"": ""นายประเสริฐศักดิ์ ขำหินตั้ง"", ""party"": ""ไทยก้าวใหม่"", ""votes"": 4}, {""number"": 2, ""name"": ""นายเชิงชาย ชาลีรินทร์"", ""party"": ""เพื่อไทย"", ""votes"": 128}, {""number"": 3, ""name"": ""นายโสโชค สู้โนนตาด"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 4, ""name"": ""นายณรงค์ แขนอก"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 5, ""name"": ""นายทัศนัย สุขประสาร"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 8, ""name"": ""นายถวัลย์ หงษ์ไทย"", ""party"": ""เศรษฐกิจ"", ""votes"": 3}, {""number"": 10, ""name"": ""นางสาววาสนา อยู่ภักดี"", ""party"": ""ประชาชน"", ""votes"": 39}]"
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,2,46,ชัยภูมิ,2,จัตุรัส,จัตุรัส ทต.บ้านกอก,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอบ้านเขว้า\ต.โนนแดง-แบ่งเขต.PDF,1,20,ชัยภูมิ,2,บ้านเขว้า,โนนแดง,,แบ่งเขต,สส.5/18,แบ่งเขต,2,1,1,าล,มา,1,371,221,222,223,23,590,999,7,"[{""number"": 1, ""name"": ""นายประเสริฐศักดิ์ ขำหินตั้ง"", ""party"": ""ไทยก้าวใหม่"", ""votes"": 3}, {""number"": 2, ""name"": ""นายเชิงชาย ชาลีรินทร์"", ""party"": null, ""votes"": null}, {""number"": 3, ""name"": ""นายณรงค์ แบนอก"", ""party"": ""ประชาชน"", ""votes"": 64}, {""number"": 4, ""name"": ""นางสาววาสนา อยู่ภักดี"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นายทัศนัย สุขประสาร"", ""party"": ""ภูมิใจไทย"", ""votes"": 1801}, {""number"": 6, ""name"": ""นายถวัลย์ หงษ์ไทย"", ""party"": ""เศรษฐกิจ"", ""votes"": null}, {""number"": 12, ""name"": ""นายโสโชค สู้โนนตาด"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}]"
เขตเลือกตั้งที่ 2\อำเภอบ้านเขว้า\ต.โนนแดง-แบ่งเขต.PDF,2,20,ชัยภูมิ,2,บ้านเขว้า,โนนแดง,,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,1,71,ชัยภูมิ,2,จัตุรัส,หนองบัวใหญ่,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,แบ่งเขต,2,1,1,ได้แล้วป่าน,แบ่งเ,6,,221,26,223,23,29,406,6,"[{""number"": 1, ""name"": ""นางสาววาสนา อยู่ภักดี"", ""party"": ""ประชาชน"", ""votes"": null}, {""number"": 2, ""name"": ""นายเชิงชาย ชาลีรินทร์"", ""party"": ""เพื่อไทย 3น สามหd t"", ""votes"": 1}, {""number"": 3, ""name"": ""นายณรงค์ แขนอก"", ""party"": ""ประชาธิปัตย์ 5"", ""votes"": null}, {""number"": 4, ""name"": ""นายถวัลย์ หงษ์ไทย"", ""party"": ""เศรษฐกิจ"", ""votes"": null}, {""number"": 5, ""name"": ""นายทัศนัย สุขประสาร"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 10, ""name"": ""นายโสโชค สู้โนนตาด"", ""party"": ""รวมไทยสร้างชาติ 2"", ""votes"": 200}]"
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,2,71,ชัยภูมิ,2,จัตุรัส,หนองบัวใหญ่,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอเนินสง่า\รังงาม-001-แบ่งเขต.PDF,1,20,ชัยภูมิ,2,เนินสง่า,รังงาม,001,แบ่งเขต,สส.5/18,แบ่งเขต,2,,,าล,เป็นสา,32,237,221,222,223,23,380,221,7,"[{""number"": 1, ""name"": ""นายถวัลย์ หงษ์ไทย"", ""party"": ""เศรษฐกิจ"", ""votes"": null}, {""number"": 2, ""name"": ""นายประเสริฐศักดิ์ ขำหินตั้ง"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 2, ""name"": ""นางสาววาสนา อยู่ภักดี"", ""party"": null, ""votes"": null}, {""number"": 4, ""name"": ""นายณรงค์ แขนอก"", ""party"": ""ประชาธิปัตย์"", ""votes"": 500}, {""number"": 4, ""name"": ""นายโสโชค สู้โนนตาด"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 5, ""name"": ""นายทัศนัย สุขประสาร"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 6, ""name"": ""นายเชิงชาย ชาลีรินทร์"", ""party"": ""ประชาชน"", ""votes"": 39}]"
เขตเลือกตั้งที่ 2\อำเภอเนินสง่า\รังงาม-001-แบ่งเขต.PDF,2,20,ชัยภูมิ,2,เนินสง่า,รังงาม,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอบ้านเขว้า\ภูแลนคา-แบ่งเขต.PDF,1,20,ชัยภูมิ,2,บ้านเขว้า,,,แบ่งเขต,สส.5/18,แบ่งเขต,2,2,,วง,บ้านเทวา,9,243,500,222,223,23,25,,7,"[{""number"": 1, ""name"": ""นายประเสริฐศักดิ์ ขำหินตั้ง"", ""party"": ""ไทยก้าวใหม่"", ""votes"": 1}, {""number"": 2, ""name"": ""นางสาววาสนา อยู่ภักดี"", ""party"": ""ประชาชน"", ""votes"": null}, {""number"": 3, ""name"": ""นายณรงค์ แขนอก"", ""party"": null, ""votes"": null}, {""number"": 4, ""name"": ""นายทัศนัย สุขประสาร"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นายเชิงชาย ชาลีรินทร์"", ""party"": ""เพื่อไทย"", ""votes"": null}, {""number"": null, ""name"": ""นายโสโชค สู้โนนตาด"", ""party"": null, ""votes"": null}, {""number"": null, ""name"": ""นายถวัลย์ หงษ์ไทย"", ""party"": null, ""votes"": null}]"
เขตเลือกตั้งที่ 2\อำเภอบ้านเขว้า\ภูแลนคา-แบ่งเขต.PDF,2,20,ชัยภูมิ,2,บ้านเขว้า,,,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอเนินสง่า\กะฮาด-001-แบ่งเขต.PDF,1,20,ชัยภูมิ,2,เนินสง่า,กะฮาด,001,แบ่งเขต,สส.5/18,แบ่งเขต,2,,,าล,ขต,113,,221,222,223,23,119,107,7,"[{""number"": 1, ""name"": ""นายประเสริฐศักดิ์ ขำหินตั้ง"", ""party"": ""ไทยก้าวใหม่"", ""votes"": null}, {""number"": 2, ""name"": ""นางสาววาสนา อยู่ภักดี"", ""party"": ""ประชาชน"", ""votes"": null}, {""number"": 3, ""name"": ""นายณรงค์ แขนอก"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 4, ""name"": ""นายถวัลย์ หงษ์ไทย"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นายทัศนัย สุขประสาร"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 6, ""name"": ""นายโสโชค สู้โนนตาด"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 25, ""name"": ""นายเชิงชาย ชาลีรินทร์"", ""party"": ""เพื่อไทย"", ""votes"": null}]"
เขตเลือกตั้งที่ 2\อำเภอเนินสง่า\กะฮาด-001-แบ่งเขต.PDF,2,20,ชัยภูมิ,2,เนินสง่า,กะฮาด,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 3\อำเภอเทพสถิต\วะตะแบก-001-บัญชีรายชื่อ.PDF,1,20,ชัยภูมิ,3,เทพสถิต,วะตะแบก,001,บัญชีรายชื่อ,สส.5/18,บัญชีรายชื่อ,,,,วง,ขต,60,,221,222,15,,24,,0,[]
เขตเลือกตั้งที่ 3\อำเภอเทพสถิต\วะตะแบก-001-บัญชีรายชื่อ.PDF,2,20,ชัยภูมิ,3,เทพสถิต,วะตะแบก,001,บัญชีรายชื่อ,สส.5/18,บัญชีรายชื่อ,,,,,,,,,,,,,,0,[]
