file,page,total_pages,province,constituency,district,sub_district,station_range,vote_type,form_type,quality_score,readable,ocr_constituency,ocr_station_no,ocr_sub_district,ocr_district,registered_voters,turnout,ballots_received,valid_ballots,invalid_ballots,no_vote_ballots,remaining_ballots,total_votes,candidates_count,candidates_json
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,25,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,2,True,,2,,,,,,4,,2,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,26,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,1,False,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,27,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,28,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,1,False,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,29,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,2,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,30,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,1,False,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,31,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,32,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,1,False,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,33,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,1,False,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,34,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,1,False,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,35,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,1,False,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ช่องสามหมอ-บัญชีรายชื่อ-หน่วยที่ 1-9.pdf,36,36,ชัยภูมิ,7,แก้งคร้อ,ช่องสามหมอ,1-9,บัญชีรายชื่อ,สส.5/18,1,False,,,,,,,,,,,,,0,[]
