Project name,Project ID,Project number,Cost (฿),Savings programs (฿),Other savings (฿),Unrounded subtotal (฿),Subtotal (฿),Percent change in subtotal compared to previous period
election-OCR,election-ocr,736775121629,1436.92,0.00,0.00,1436.915727,1436.92,New
,,,,,Subtotal,1436.915727,1436.92
,,,,,Tax,0.000000,0.00
,,,,,Total,1436.915727,1436.92
